,category,submitted_by,published,updated,proposal/needed,Resources to be saved or improved,Benefits,Technology type,Technical fields,Stage of development,Project summary
(KOTEC7) Advanced and energy saving waste water treatment by membrane filtration systems,Pollution and Waste,KOTEC,"March 06, 2015","April 17, 2015",proposal,Water,"1. Stability/Effluent
- High efficient removal and stable of water quality
- Flexible solution for highly fluctuated influent water conditions
- Meet the needs of high stringent water reuse quality regulation
2. Small Footprint
- Replacement of existing systems
- Easiness for future expansion
3. Reuse Field
- Primary filtered water: Landscaping, stream reuse
- Secondary filtered water: Agricultural, Industrial reuse, resort","Process, Device or equipment",Pollution & Waste > Waste treatment,Proven record of commercial use,"1. Incheon Chongna Gongchon STP (65,000m3/day) (commissioned Date '12)
2. Daegu Dalsung Industrial Complex WWTP (25,000m3/day) (Operating Start '08.11)
3. Okcheon Municipal WWTP (18,000m3/day) (Operating Start '08.10)
4. jinhae Ungdong STP (10,000m3/day) (commissioned Date '11)"
(KOTEC8) Algae Removal and Solar Power Industries using Floating Purifier,Pollution and Waste,KOTEC,"March 09, 2015","April 17, 2015",proposal,Electricity,"- Possible for Solar power generation facilities.
- Can be assembled upward and downward
- Able to restore aquatic and territorial ecosystem
- Observation deck can be used as a pontoon bridge","Process, System or software, Device or equipment, Facility",Pollution & Waste > Waste treatment,Proven record of commercial use,
"(KOTEC9) Mobile water(lake, river, stream) purification system",Pollution and Waste,KOTEC,"April 15, 2015","April 17, 2015",proposal,Water,"The mobile stream purification system is moved as close to a place as possible where there are pollution sources and purifies the water by separating sludge containing pollutants in the polluted water mixed with mud, sand, gravel etc. from purified lake water. It can save processing time and cost. Also, you can use more space because the fixed facility is not required, so that it may have an effect on the prevention of environmental pollution.

With the portable real-time water purification apparatus as a basic concept, the company has further upgraded the portable stream purifying device as described in the appraisal report. In the upgraded configuration, it is possible to dispose the sludge and organic substances in the streams or lakes as quickly as possible. The company has related patents for these improvements. ","Process, Device or equipment",Pollution & Waste > Waste treatment,Proven record of commercial use,
000020: Process for the Preparation of Polymers of Dimeric Cyclic Esters,Green Products,Michigan State University,"May 26, 2016","May 26, 2016",proposal,,"ower cost 

  production process for PLA : One of the challenges for biodegradable 

  replacement polymers has been the lower cost of commodity polymers like 

  polyethylene, polypropylene and PVC. Technologies that contribute to reducing 

  the cost of PLA will increase its competitiveness with petroleum-derived 

  polymers. This process eliminates the need for enantioselective 

  processes. 

  Process 

  produces stereocomplex PLA: This mixture of D and L-PLA has a 

  significantly higher meting point than PLA produced by the standard process. 

  This higher melting temperature allows the materials to be used for high 

  temperature applications. 

  Environmentally advantageous: The technology enables 

  broader use of PLA as both green replacements for petroleum-derived polymers 

  and bioresorbable polymers used for implanted medical 

  devices.

Applications

This invention is useful for providing less costly 

crystalline PLA for bioplastics applications where PLA is already employed. 

Materials made from PLA produced by this process are ideal for biomedical 

implants and high temperature polymer applications.

IP Protection 

Status

US 6469133 (issued Oct 22, 2002)",,Green Products > Biodegradable/ Biocompatible products,,
020017: Electrically conductive polycrystalline diamond and particulate metal-based electrodes for fuel cells and other electrochemical applications,Energy,Michigan State University,"May 31, 2016","May 31, 2016",proposal,,"More control: The invention provides for good control over size distribution of the platinum nanoparticles, which improves catalytic performance. 

Better performance, lower cost: The invention is significantly better than commercial Pt black (Pt-JM) in the catalytic oxidation of methanol. 

Versatile technology: Other scarce, valuable metals may be candidates for this technology including rubidium, palladium, silver, gold, etc.",,"Energy > Fuel cells
Chemicals & Advanced Materials > Other",,
090062: Improved Method for Succinic Acid Recovery,Pollution and Waste,Michigan State University,"May 24, 2016","May 24, 2016",proposal,,"Environmentally-friendly alternative: This process uses less energy and fewer materials than current bio-based processes and enables the recycling of any steam/water produced. ApplicationsSuccinic acid and other carboxylic acids can be used across an array of applications and industries such as the following:·         Raw material in the manufacture of organic chemicals·         Sodium salt to improve flavor in the food industry·         Compound needed to produce paints, dyes, ion exchange resins, and pesticides·         Agent in the synthesis of diuretics, sedatives, expectorants, and vitamins·         Sustainable and “green” alternative to petroleum-derived maleic anhydride IP Patent ProtectionPatent pending ",,"Pollution & Waste > Recycling & reuse
Energy > Energy efficiency",,
"1,1,1,2,2,3,3,4,4-Nonafluoro-4-Methoxybutane Refrigerant Compositions Comprising a Hydrofluorocarbon and Uses Thereof",Pollution and Waste,Eco-Patent Commons,"March 09, 2015","March 09, 2015",proposal,Air,Provides novel refrigedant compositions and heat transfer fluids that provide unique characteristics to meet the demands of low or zero ozone depletion potential and lower global warming potential as compared to current refrigerants. ,Process,Pollution & Waste > Recycling & reuse,,
"1,1,1,2,2,4,5,5,5-Nonafluoro-4-(Trifluoromethyl)-3-Pentanone Refrigerant Compositions Comprising a Hydrofluorocarbon and Uses Thereof",Pollution and Waste,Eco-Patent Commons,"January 27, 2015","March 09, 2015",proposal,Air,Provides novel refrigedant compositions and heat transfer fluids that provide unique characteristics to meet the demands of low or zero ozone depletion potential and lower global warming potential as compared to current refrigerants. ,Process,Pollution & Waste > Air,,
110010: Improved Method for Producing Acetoxypropanoic Acid (APA),Green Products,Michigan State University,"May 26, 2016","May 26, 2016",proposal,,"The innovation decreases the cost of producing APA, which may offer greater competitiveness or higher profit margins for producers.  Benefits·         Green technology: Use of this technology allows consumer product to be labeled “green.” ·         Less waste: The invention uses lower ratios of acetic acid to lactic acid, and the acetic acid is largely recycled.·         Increased purity and yield: This innovation produces little water as a side product, allowing APA to be obtained in a mixture containing primarily acetic acid.·         Feedstock flexibility: A variety of feedstock concentrations and/or purities may be used, making this process flexible.·         Increased efficiency: Continuous operation using reactive distillation increases separation efficiency over batch production.·         Cost stability: Non-petroleum feedstock reduces reliance on volatile pricing. ApplicationsAPA is most commonly converted to acrylic acid, a major bulk chemical most commonly converted into super adsorbent polymers (SAP). SAPs are used in a variety of personal care products, such as disposable diapers. Manufacturers are also investigating other uses of APA in consumer products that do not involve conversion to acrylic acid.",,Green Products > Biodegradable/ Biocompatible products,,
3D semiconductor manufacturing method,Energy,"Honda Motor Co., Ltd.","November 19, 2013","November 19, 2013",proposal,Electricity,"Three dimension semiconductor device and manufacturing method by TSV (Through Silicon Via) contributing to high-integration, down-sizing and low-power consumption. 
Manufacturing process of 3D semiconductor with thinner wafer and capable of reducing process for electrical connection between wafers to be laminated, inter alia, in the process; 

A deep isolation trench extending from the main surface of a substrate to a desired depth is formed on the substrate with an insulating film in buried in it to form a through isolation portion. Subsequently, after a MOSFET is formed on the main surface of the substrate, an interlayer insulating film is deposited on the main surface of the substrate. Then, a deep conduction trench extending from the upper surface of the interlayer insulating film to a depth within the thickness of the substrate is formed in a region surrounded by the through isolation potion. Subsequently, a conductive film is buried in the deep conduction trench to the through isolation portion and the through interconnect portion, we etching is performed to an extent to expose parts of the lower portion of each of the through isolation portion and the through interconnect portion. ","Process, Design",Energy > ICT in energy,Under R & D,
4 IN 1 JIKOS(Energy Saving Jiko),Energy,East Africa Climate Innovation Network (EACIN),"November 27, 2013","November 27, 2013",proposal,Electricity,Efficient and long lasting.,Device or equipment,Energy > Energy efficiency,At usable level,
5MW solar PV powered Industrial Park,Transportation,UNOSSC,"July 31, 2014","July 31, 2014",proposal,Electricity,"1. Access to Electricity 
2. Stimulate economic development in all dimensions: rice, floor, simsim mills, saloons, fridges, battery/phone charging, ICT etc. 
3. Excess energy to be sold to the national grid ",Facility,"Transportation > Road
Farming & Forestry > Alternative irrigation
Energy > Solar",,
980036: Microbial Utilization of Electricity,Energy,Michigan State University,"May 31, 2016","May 31, 2016",proposal,,"* Interconversion: Allows the interconversion of biological reducing power, biological energy, and electrical energy in the electrochemical bioreactor or fuel cell.

* Cell growth: 

Promotes cell growth in the production of desired products.

* Cost  effective: Reduces reaction time, resulting in cost savings.",,Energy > Fuel cells,,
A BIM-Interfaced Decision Support Software for Architectural Design Assistance,Energy,Virginia Tech Intellectual Properties Inc,"November 30, 2015","November 30, 2015",proposal,,Supports decision-making for green roof selection. ,,Energy > ICT in energy,,
A Bi-level Equalizer for Battery Cell Charge Management,Energy,University of Toledo,"February 09, 2017","February 09, 2017",proposal,,"Applications: Electric/Hybrid Vehicles (EVs), Military/Aerospace, and Energy Storage (ES) for Grid Connected Solar and Wind Energy  Value proposition: Novel system provides advantages including: 1.       Primary asset of our new BMS is that it contains a cell voltage equalizer (EQU) that is much more effective in terms of performance and cost than anything in the present market. 2.       Compared to REQ, our BEQ increases lifetime battery capacity and range of an EV by 50% at a cost increase of only $33 per unit. For a 10 year battery, this effectively adds an additional five years to its life.3.       Estimated cost in the range of an REQ, but provides about 98% efficiency (as opposed to 0% for an REQ) and a much higher battery capacity that is close to that of an SEQ.  4.       Both BEQ and SEQ provide a capacity that is about 50% higher than the cheaper but widely used REQ, but the BEQ cost is only about 45 % of an SEQ.5.       Preliminary lab prototype has been designed and tested, and test results confirm improved performance IP Status: Provisional patent application # 62/287,575  ",,Energy > Energy storage,,
A Biorefinery Utilizing Lignin,Energy,Purdue Research Foundation,"November 16, 2014","December 21, 2015",proposal,,"1) Allows usage of all components of a lignocellulosic biomass feedstock. 


2) Encompasses multiple synergistic processes designed to minimize destruction of the biomass.",,Energy > Biomass/Bioenergy,,
A Compact System for Decentralized Sanitation and Waste Resource Recovery,Water,University of South Florida,"August 26, 2016","August 26, 2016",proposal,,"Safe sanitation

Compact, flexible/highly robust

Low energy consumption

Off-grid technology

Resource reuse applications",,Water > Water treatment,,
A Composite Biosorbent for Treatment of Heavy Metal Waste Streams,Pollution and Waste,"University of Illinois, Urbana-Champaign","December 09, 2016","December 09, 2016",proposal,,"Companies can license this water purification technology to use in various decontamination systems:Consumer drinking water: The biosorbent is more efficient to use than activated carbon for removing metals. The material could be easily incorporated in under-the-sink units.Wastewater treatment: The chitosan-gel combination is a more effective and less expensive process for removing heavy metals from wastewater in many industrial processes, including metal plating and finishing, mining, and power generation (nuclear and fossil fuels).Groundwater decontamination: The biosorbent can be used in environmental clean-up efforts for removing heavy metals and certain gasoline additives from contaminated groundwater.",,Pollution & Waste > Waste treatment,,
A Composition and a Method for Preparing PLA with Improved Performance Characteristics,Chemicals and Advanced Materials,Michigan State University,"November 25, 2015","November 25, 2015",proposal,,"(1) Compositions have improved performance characteristics when compared to non-hyperbranched Polyesters: The polymer exhibits excellent miscibility, improved impact   strength and elongation. They are highly reactive and effective even at low   concentrations. All of this is achieved without drastically decreasing tensile strength and modulus.   


(2) Biodegradable: Hyperbranched Polyesters are aliphatic and have low molecular weights.",,Chemicals & Advanced Materials > Packaging materials & fabric,,
A Cost-Effective Method for Reducing Mercury Levels from Flue Gas,Pollution and Waste,University of North Dakota,"November 25, 2015","November 25, 2015",proposal,,"-Does not require the addition of oxidants

-Also removes ash produced from coal combustion

-Size and cost are approximately ⅓ – ¼ lower than traditional processes

-Useful for multiple combustion sources, such as coal, gas, biomass, or waste fuels",,Pollution & Waste > Air,,
A CpI hydrogenase-FNR fusion protein offers greatly improved hydrogen production rates through a synthetic enzyme pathway,Energy,Stanford University,"December 03, 2015","December 03, 2015",proposal,,"1) Greatly improved enzyme function in a synthetic enzyme pathway for the production of hydrogen


2) Renewable, carbon neutral production of hydrogen, an important chemical feedstock and fuel


3) Enzyme pathway works with a wide variety of biomass sources of reducing equivalents


4) Faster and cheaper than other biomass to hydrogen routes",,Energy > Biomass/Bioenergy,,
A Device for Harvesting Mechanical Energy Through a Piezoelectrochemical Effect,Energy,Princeton University,"August 18, 2017","August 18, 2017",proposal,,"1. High charge density

2. Produce magnitudes more energy per load cycle

3. Low frequency loading

4. Complimentary to piezoelectric energy harvester",,Energy > Energy generation (Others),,
A Device for Preserving Showering Comfort at Reduced Water Temperature and Flow Rate,Green Products,Virginia Tech Intellectual Properties Inc,"June 29, 2016","June 29, 2016",proposal,,No product existing on the market today provides this simple of a solution to the serious problem of resource consumption without diminishing the experience expected in a typical showering environment.,,Green Products > Products that save water/energy,,
A Facile Preparation Method for Highly Dispersed Supported Metal Catalyst,Pollution and Waste,National University of Singapore,"December 03, 2015","December 03, 2015",proposal,,"1) Anti-coking

2) Low cost due to wide availability of raw material

3) Easy to produce",,"Pollution & Waste > Air
Energy > Energy generation (Others)",,
A Filter for Passive Collection of Carbon Dioxide From an Air Stream,Pollution and Waste,Arizona Tech Enterprises (AzTE),"December 09, 2016","December 09, 2016",proposal,,"Potential Applications 

CO2 sequestration 

Air filtration 

GHG emission reduction 

Benefits and Advantages 

Versatility – 

able to take a variety of different sorbents and include them in the structure, while tolerating dimensional instability that otherwise would degrade performance 

flat sheets of composite material are relatively easy to manufacture 

basic design concept can be transferred to other sorbent systems 

Environmental Sustainability – passive CO2 sequestration technique which is able to operate with a very low pressure drop across a wind-driven collector 

Longevity – design utilizes precise construction for long-term monolith stability ",,Pollution & Waste > Carbon capture & storage,,
A Green Alternative to Polyurethane,Green Products,University of Arizona,"April 18, 2017","April 18, 2017",proposal,,"1. Produces nitrogen gas instead of carbon dioxide

2. A cleaner alternative to polyurethane

3. Eliminates use of toxic isocyanates

4. Increases industrial manufacturing safety

5. Can synthesize a large variety of tetrazine-based materials for numerous material properties and applications

6. Reduces steps required to create foams and adhesives

7. Particular syntheses can produce a clear, colorless film that fluoresces under UV light, leading to potential use in electrofluorochromic devices

8. Built-in antioxidants",,Green Products > Products that avoid toxic or other emissions,,
A High Efficiency Micro-Thermophotovoltaic Generator System,Energy,Massachusetts Institute of Technology (MIT),"December 03, 2015","December 03, 2015",proposal,,"1) Micro-TPV reactors see up to a 27-fold increase in their efficiency and power output


2) Solar thermal TPV systems see up to a 45-fold increase in their efficiency to exceed the Shockley


3) Quiesser limit for a single-junction photovoltaic cell.


4) The invention paves the way towards a fully integrated, fully functional micro-scale TPV power generator.",,Energy > Solar,,
A High Performance Amphiphilic Ionomer Membrane for Alkaline Exchange Fuel Cells,Energy,Stanford University,"December 03, 2015","December 03, 2015",proposal,,"1) 50% increase in performance metrics of AEMFC baseline material


2) Lower costs - enables use of inexpensive metals such a iron, cobalt and nickle (non noble metals)


3) Higher catalyst durability


4) Higher performance (peak power density) than current commercial state-of-the-art \""Fumatech FAA-3\"" when using non-precious Manganese Oxide catalyst at cathode",,Energy > Fuel cells,,
A High Temperature-Stable Derivative of Anhydrous Phosphoric Acid,Energy,Arizona Tech Enterprises (AzTE),"November 15, 2014","December 22, 2015",proposal,,"1) Higher Operating Temperatures – Provides higher power density at low cost.


2) Stability – Electrolyte provides superior conductivity across the temperature spectrum.


3) Flexibility – Product can be sold in liquid form or as a membrane.",,Energy > Fuel cells,,
A High-Performance Reactor for Producing High-Purity Hydrogen from Coal,Energy,University of Florida,"December 03, 2015","December 03, 2015",proposal,,"1) Magnetic treatment enhances iron’s porosity, boosting the reactor’s hydrogen output rate up to 90 percent


2) Aids the transition from a hydrocarbon economy to a hydrogen economy, safeguarding the environment from damaging pollutants


3) Utilizes abundant raw components (e.g. iron, water and coal), ensuring a stable supply of hydrogen is available to meet ever-increasing energy demands",,Energy > Energy generation (Others),,
A Homologous Biosynthetic Pathway for the Production of Biofuels,Energy,Rice University,"December 03, 2015","December 03, 2015",proposal,,"1) Method amenable to production of higher chain linear alcohols (e.g., butanol) and long chain fatty acids (C >10)


2) Method allows controlled diversification of these chemical products


3) Biosynthetic pathway employs native genes and enzymes for increased efficiency",,Energy > Biomass/Bioenergy,,
A Hybrid System to Enhance the Rate of Biological Fuel Production Under Solar Illumination,Energy,Ohio University,"December 03, 2015","December 03, 2015",proposal,,"1) Enhanced performance of devices based on photocurrents in photosynthetic complexes.


2) Increased yield of chemical energy that can be produced using a smaller number of reaction centers.


3) Minimized energy loses from the system due to fast separation of the electron-hole pair.


4) Increased absorption in the range of wavelength from the solar spectrum by the hybrid system as compared to natural photosynthetic systems.",,"Energy > Solar
Energy > Biomass/Bioenergy",,
A Layered Hybrid Perovskite Solar Cell Absorber with Enhanced Moisture Stability,Energy,Stanford University,"December 22, 2015","December 22, 2015",proposal,,"Advantages as compared to 3D analog:


1) More resistant to humidity 


2) Simpler deposition techniques for obtaining high-quality films 


3) Greater tunability at the molecular level for material optimization


4) Anhydrous conditions are not required for device fabrication


5) High-quality films can be deposited through simple one-step spincoating from precursor solutions


6) Annealing is not required for device fabrication

 

Benefits:


1) First report of a 2D perovskite functioning as a solar cell absorber 


2) Higher open circuit-voltages up to 1.18V


3) Suitable bandgap for the higher bandgap absorber in a tandem solar cell",,Energy > Solar,,
"A Living Biopesticide Against the Insect Pest, Spotted Wing Drosophila",Farming and Forestry,"University of California, Davis (UC Davis)","May 29, 2017","May 29, 2017",proposal,,"1. Environmentally friendly, economical, and species-specific for spotted wing drosophila

2. Alternative approach to chemical pesticide

3. No contamination of water supplies or damage to ecosystems",,Farming & Forestry > Alternative to chemical pesticides/insecticides/fertilizers,,
A Low-Power CMOS Image Sensor with Embedded Feature Extraction Algorithm for Motion-Triggered Object-of-Interest Imaging,Energy,University of Michigan,"November 30, 2015","November 30, 2015",proposal,,"(1) Low power


(2) Reduced bandwidth


(3) Scalable spatial resolution",,Energy > Energy efficiency,,
A Method and Apparatus for Inductive Amplification of Ion Beam Energy,Energy,Stanford University,"December 03, 2015","December 03, 2015",proposal,,"(1) Compact - current accelerators are large and complex, taking up expensive clean room space; this smaller device can offer significant cost savings.


(2) High particle density (orders of magnitude higher than those in pure ion accelerators).",,Energy > Energy generation (Others),,
A Method for Bidding Battery Storage Into Hour-Ahead Energy Markets,Energy,Princeton University,"December 23, 2015","December 23, 2015",proposal,,"1)  ADP algorithm dramatically outperforms engineering practice


2) ADP algorithm is used to find a revenue-generating bidding policy


3) No knowledge of the distribution of the price process is required


4) Training of the ADP algorithm can be done with real data


5) Battery arbitrage can be an important part of a portfolio of revenue-generating activities ",,Energy > Energy storage,,
A Method for Controlling Growth Instability in Template-Assisted Electrodeposition of Nanowires,Energy,Princeton University,"December 22, 2015","December 22, 2015",proposal,,"1) Promotes uniform growth of nanowires


2) Controls instability of nanowires 


3) Capable of compartmenting individual nanowires on a large area",,"Other Areas > Other Areas
Energy > Solar
Energy > Other",,
A Method for Designing Non-insecticidal Bite-proof Textile Materials,Green Products,North Carolina State University,"June 23, 2016","June 23, 2016",proposal,,"Advantages:

1. Avoid using toxic insecticides.

2. Maintain appropriate thermophysiological, sensory, and ergonomic properties and keep the user comfortable.

3. Flexibly applicable to achieve diverse applications such as soldier clothing and sportswear.",,"Green Products > Products that avoid toxic or other emissions
Chemicals & Advanced Materials > Other",,
A Method for Synthesis of Phosphate-Based Materials,Energy,National University of Singapore,"December 03, 2015","December 03, 2015",proposal,,"(1) Scalable synthesis method


(2) Superior energy storage


(3) Efficient synthesis approach


(4) Controllable micro-morphology 


(5) Cost efficient


(6) High safety",,Energy > Energy storage,,
A Method to Reduce Non-Torque Rotor Moments for Improved Reliability of Wind Turbines,Energy,University of Delaware,"November 16, 2014","December 21, 2015",proposal,,"1) Inexpensive


2) Improves life of wind turbine


3) Increases power output


4) Increases value of wind turbine",,Energy > Wind,,
A Methodology to Assess the Efficacy of Carbon Capture Technologies,Pollution and Waste,South Dakota State University,"June 16, 2014","June 16, 2014",proposal,,"Nuclear counting can be performed to remove the current need for chemical assay. The methodology can find inefficiencies in current carbon capture technologies so those technologies can be repaired or optimized. Additionally, carbon storage facilities will need the ability to test for leaks of the underground storage that is available due to this technology.",,Pollution & Waste > Carbon capture & storage,,
A More Efficient Organic Photovoltaic Cell with Enhanced Performance,Energy,University of Central Florida,"December 23, 2015","December 23, 2015",proposal,,"1) Higher in efficiency


2) Lower in cost


3) lightweight


4) More flexible",,Energy > Solar,,
A Multi-Bed Desiccant Dehumidification (MBDD) System,Energy,National University of Singapore,"November 30, 2015","November 30, 2015",proposal,,"(1) Low maintenance (No major moving parts)


(2) Environmentally friendly

   

(3) Energy saving of 25 percent

  

(4) Low grade waste heat can be exploited

   

(5) The adsorbent will not degrade even after several thousand times of use

   

(6) Adsorption uptake efficiency is very high as highly porous hydrophilic adsorbent is used",,Energy > Energy efficiency,,
