window,By,country,contact_email,contact_employer,patent_info,implementation,intellectual_property_type,keywords,market_prospect,cooperation_type,contact_person,contact_organization,contact_organization_type,description,published,region,secondary_field,technology_readiness_level,contact_phone,sector,title,meta_base_url,meta_organization,meta_category,meta_collected_date
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"robot, surgery, medical device, tool, holder",,Commercializaiton,Joe Kao,Johns Hopkins University Office of Technology Transfer,Colleges & Universities,"* Value Proposition
Surgical robots are increasingly used to aid surgical procedures, as these technologies offer improved control and better visibility of surgical sites when compared to alternative minimally invasive surgical techniques. Many surgical robots have quick-release tool holders, which allows for easy exchange of different tools and fast removal of a tool in case of emergency. Needle-shaped tools are most commonly used with these quick-release tool holders; however, many surgical tools, specifically those used for head and neck surgery, have needles that are too wide or too long to be held by existing tool holders, and it is impractical to have multiple tool holders of different sizes on a single robot. Additionally, tool holders do not allow for rotation of a surgical device about its axis, limiting the surgeons control and range of motion with needle-shaped surgical tools. This invention is a novel tool holder without tool size limitations that allows for full control of axial rotation of surgical tools, in addition to existing motion control. Additional advantages over current tool holders include:• Automatic tool detachment from tool holder with high exerted force: Protects the robot, tool, and patient from excessive force
• Quick and easy tool attachment/detachment: Handheld cylindrical surgical tools of any size held by magnetic force to the side of the tool holder
• Adjustable parameters for automatic tool detachment: Holding force can be adjusted by adjusting the distance from the magnets to the rotor
Technical Details
Johns Hopkins researchers have developed a tool holder system to provide quick tool connection-disconnection functionalities and to offer control over axial rotation of surgical tools. The tool holder is comprised of two main parts, a rotor which is fixed to the tool shaft, and a stator which is fixed to the robot. The rotor rotation of the surgical tool can be controlled by a motor system. Though designed for use in surgical robotic tool holders, this invention could potentially be refined for and used in industrial and manufacturing applications.",2015.02.12,,Medical Devices,Under Development,0086 10 8348 7835,Health Care,Rotation-Preserving Quick-Connect System between Surgical Robot and Tools,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,WO 2013/134758,,Invention,"sinusitis, imflammation, nasal, implant, treatment",,Commercializaiton,Joe Kao,Johns Hopkins University Office of Technology Transfer,Colleges & Universities,"* Value Proposition
In the United States, about 3 to 10 million people suffer from chronic sinusitis, caused by inflammation of the paranasal sinus tissue. Common treatment methods include saline irrigation and steroids, used to alleviate symptoms, but current delivery solutions are unable to treat areas that are inaccessible due to local inflammation. This invention provides a means to easily and directly apply therapies to the sinuses. The device, which is an implanted tube, is not perceivable to the patient nor is it externally visible. Other advantages of this device include:• Secure anchoring mechanisms with novel shape-memory arms
• Simple placement and replacement procedures performed by a physician
• Magnetic fixtures to connect to drug injectors
• Specially designed tube will avoid occlusion from surrounding tissue or mucus
Technical Details
Johns Hopkins researchers have developed an implant for the application of drugs directly to the sinuses. The device consists of a catheter that allows drugs to reach previously inaccessible surfaces. It is easily implanted in the nasal cavity after surgery or during an office visit. The device also features a novel magnetic fixture to connect the drug injectors. This feature creates a reliable seal for efficient medication passage. The unique construction prevents inflammation from blocking delivery to areas that need treatment the most.",2015.02.12,,Medical Devices,Bench Scale,0086 10 8348 7835,Health Care,Nasal Implant,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"diagnostic, cancer, dna, ovarian, test",,Others,Joe Kao,Johns Hopkins University Office of Technology Transfer,Colleges & Universities,"*Value Proposition
The incidence and mortality of ovarian and endometrial cancers have remained high due to the lack of effective screening tests for early detection. Recently, the liquid-based Pap test replaced traditional Pap smear in screening tests for cervical cancer. The new Pap test enables cytological evaluation and collection of DNA for molecular diagnostics. This invention provides a new screening method for ovarian and endometrial cancers by detecting DNA mutations from liquid-based Papanicolaou (Pap) smears samples. Advantages of the technology include:• Highly sensitive and quantitative
• DNA preparation process can be automated, allowing for large-scale tests
• Relatively inexpensive and easily incorporated into the routine pelvic examination
Technical Details
Johns Hopkins researchers have developed PapGene test, a new screening method for endometrial and ovarian cancers. This diagnostic test is easily incorporated into a routine pelvic examination. The invention uses a sequence-based method to query 12 mutations in a single liquid Pap smear. Additionally, this method does not require prior knowledge of the tumors genotype. This diagnostic test provides an inexpensive and accurate means of diagnosing ovarian and endometrial cancers.",2015.02.12,,Diagnostics,Under Development,0086 10 8348 7835,Health Care,PapGene Test,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"magnetometer, accelerometer, calibration, gyroscopes, navigation",,Licensing Opportunities,Joe Kao,Johns Hopkins University Office of Technology Transfer,Colleges & Universities,"* Value Proposition
Magnetometers, accelerometers, and gyroscopes are used together in a number of applications, including vehicle navigation systems and personal electronics devices, such as smart phones and tablet devices. The combination of these sensors allows for the estimation of the full attitude (heading, pitch, and roll) of a device; however, all of these sensors are affected by biases, scale factors, and non-orthogonality. Existing methods of device calibration require 360 degree movement of the device in one or several degrees of freedom in order to estimate accelerometer and magnetometer bias from gyroscope data and defined start and end positions; these methods are computation-intensive and require users to manually change device attitude to calculate bias and recalibrate. This method allows for the convenient and accurate estimation of the bias of magnetometers and accelerometers, eliminating the need for user intervention. Additional advantages of this method include:• Does not require numerical integration of gyroscope data or defined start and end positions
• Can be calculated continuously
• Requires less processing time and can be easily implemented
Technical Details
Johns Hopkins researchers have developed a novel methodology for correcting magnetometer and accelerometer bias. This method solves for unknown sensor bias within the inertial reference frame using the sensor measurement and the inertial reference measurement within the same inertial reference frame. The proposed solution relates the sensor measurement rate with the angular rate measured by the gyroscope. This solution can be implemented using least squares estimation, adaptive identification or Kalman filter. Notably, this method does not require numerical differentiation of sensor measurements, allowing for accurate, real-time estimation of sensor bias.",2015.01.29,,Other,Under Development,0086 10 8348 7835,Automotive,Method for Magnetometer and Accelerometer Calibration,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"engineering, green, system, roof, low-cost",,Licensing Opportunities,Joe Kao,Johns Hopkins University Office of Technology Transfer,,"* Value Proposition
A green roof is a partial or complete cover of a roof with plants and growing medium, that is gaining increasing popularity as an economic way for absorbing rainwater, providing insulation, and reducing energy costs. Yet, the heavy weight and high installation costs of conventional green roofs remain challenges, and there is great interest in improved affordable systems. An easy to install, lightweight small footprint green roof optimized for climbing plants, providing equivalent service for greatly diminished weight and costs has been developed in response to the green roof challenges. Advantages include:• Lightweight green roof technology supportable on any type of roof
• Permits easy, low-cost installation and maintenance
• Powerful new system promoting environmentalism and landscaping
Technical Details
Johns Hopkins researchers have designed a lightweight green roof technology suitable for a cost-efficient installation on any type of roof. Conventional green roofs consist of an artificial planting bed laid over a conventional roofing surface, often including additional layers to protect the underlying roof. Thus, due to their heavy weight current green roofs are only supportable by flat roofs and require costly professional installation. This technology describes a novel small footprint green roof system comprised of a series of elevated planters equipped with a water reservoir that are connected to one another by wires colonized by climbing plants. Only a fraction of the roof surface needs to support growing apparatuses permitting installation on different roof configurations as well as reducing cost for material, installation, and maintenance. Hence, this technology presents an efficient new green roof system that dramatically reduces weight and installation costs, useful for environmentalism and landscaping.",2015.01.29,,Other,Under Development,0086 10 8348 7835,Engineering,Novel Low-Cost Lightweight Green Roof System,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,WO/2000/061742,,Invention,"health care, therapeutics, treatment, heart, failture",Medical Industry,Licensing Opportunities,Joe Kao,Technology Transfer Heidelberg GmbH,,"* Problems this technology could solve: Gene therapy and short peptide therapy based on S100 protein with a positive inotropic effect which can be used for treating acute and chronic skeletal muscle or cardiac muscle dysfunctions.
* Gene therapy and short peptide therapy based on S100 protein with a positive inotropic effect which can be used for treating acute and chronic skeletal muscle or cardiac muscle dysfunctions.",2015.01.29,,Therapeutics,Bench Scale,0086 10 8348 7835,Health Care,Biological therapeutics targeting molecular causes of heart failure,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"application, smartphone, assessment, surgical, risk",Medical Industry,Licensing Opportunities,Joe Kao,University of Michigan Techtransfer,Colleges & Universities,"* Problem this techonology can solve: Existing methods of risk assessment are cumbersome and may involve a subjective eyeball test based on the surgeons evaluation of the patient or evaluation of only one portion of the patients operative risk (e.g. cardiovascular health), limiting their clinical relevance. Improved objective measures of pre-operative risk and utilization of validated surgical decision aids can heighten awareness as to the likelihood of complication and can improve patient-centered surgical decision-making.
* Addressing this issue researchers at the University of Michigan have developed a unique easy to use mobile app that provides accurate, patient-specific risk information to guide both surgical decision-making and informed consent. A complex algorithm/statistical model is employed that utilizes patients’ clinical variables and operative parameters to assess the risk associated with a specific surgical procedure. The risk calculations are based on detailed surgical outcomes from more than 350,000 procedures performed across the state of Michigan. The app also provides patient specific risk score and predicts the outcome of major complications, length of stay at the hospital, 30-day mortality, etc and displays these results in comparison to an average person’s risk.",2015.01.29,,Other,Bench Scale,0086 10 8348 7835,Health Care,Smartphone Application for Surgical Risk Assessment,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"enzyme, stabilization, nanoparticle, supraparticles, protein",Medical Industry,Licensing Opportunities,Joe Kao,University of Michigan Techtransfer,Colleges & Universities,"* Problem this technology can solve: The effectiveness of enzymes can be hindered by the loss of stability due to changes in temperature, pH, and other environmental conditions. Loss of stability leads to enzyme denaturalization and loss of catalytic activity.
* Nanoparticles form spontaneous self-assemblies with proteins and enzymes that are called supraparticles. These assemblies can form from any protein and nanoparticle combination given the right conditions. Supraparticles were shown to maintain the stability of the proteins by keeping them in a folded state in the confines of the new hybrid structure. Thus, supraparticles present a viable option for enzyme stabilization. Such systems also lend themselves to the integration of the optical and electric properties of metallic and semiconducting nanoparticles with the biological function of enzymes.
* Supraparticles that combined cadmium telluride nanoparticles with Cytochrome C protein, as well as a redox enzyme and a sacrificial electron donor, were not only stable but showed impressive photoenzymatic activity when irradiated with light. In the future, these kinds of materials could be used for solar fuel production.",2015.01.29,,Therapeutics,Bench Scale,0086 10 8348 7835,Health Care,Bio-Nano Supraparticles for Enzyme Stabilization,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"cancer, drug, medicine, treatment, novel",Medical Industry,Licensing Opportunities,Joe Kao,University of Michigan Techtransfer,Colleges & Universities,"* Problem this technology could solve: Currently all patients with similar type of cancer receive similar treatment, even though the development of a tumor and further progression of the disease is often different in each individual. This traditional approach to cancer treatment has always entailed accepting the risks of individualized adverse reactions, including death, in some cases and inefficiencies that inflate health care costs and undermine patient care.
* This technologyprovides a novel approach that integrates personalized medicine with targeted drug delivery for cancer management. The invention uses synthetic High Density Lipoprotein (sHDL) nanoparticles for targeted delivery of cancer drugs with a personalized medicine approach. The researchers propose to selectively deliver cancer drug containing sHDL nanoparticles to tumors through a receptor that is differentially expressed in tumors. The inventors have demonstrated the proof-of-concept and feasibility of customized, targeted drug delivery to tumors both in vitro and in vivo using this approach. They have also established that drug loaded sHDL has similar or better cytotoxicity in vitro relative to free drug.",2015.01.29,,Therapeutics,Bench Scale,0086 10 8348 7835,Health Care,High Density Lipoprotein Nanoparticles for Targeted Delivery of Cancer Drugs in Personalized Medicine,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"biofilm, bacterial, plumbing, food, antibiotic",Food Industry,Licensing Opportunities,Joe Kao,University of Michigan Techtransfer,Colleges & Universities,"* Bacterial biofilms are aggregates of bacterial cells that can form on living and non-living surfaces in a variety of situations including natural water bodies and surfaces, plumbing, food-related counters and surfaces, and implanted devices such as heart valves and catheters. These biofilms are often resistant to antibiotics and other anti-microbial treatments, and hence can cause infections in the body, when they occur on implant and contact lens surfaces, in dental plaques and gingivitis etc. Biofilms can also impair the healing of wounds and lower the efficacy of antimicrobial topical treatments.
* Specifically, the inventors have demonstrated that the enzyme apyrase is able to prevent biofilm development by cleaving bacterial extracellular ATP, which is important in biofilm production. Using in vitro and in vivo experiments, the inventors have shown that apyrase treatment reduces bacterial adherence and hence prevents biofilm production.",2015.01.29,,Other,Bench Scale,0086 10 8348 7835,Life Sciences and New Energy,Control of Biofilm Related Infections,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,US 6569891,,Invention,"life sciences, natural, brazilian tree, hypertension, isolated",,Licensing Opportunities,Joe Kao,BYU Technology Transfer Office,Colleges & Universities,* This technology makes a natural compound found in a Brazilian tree that reduces hypertension be purified and isolated.,2015.01.29,,Other,Bench Scale,0086 10 8348 7835,Life Sciences and New Energy,Natural-anti-hypertensive,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"nad+, nadh, nadph, test, detection",,Licensing Opportunities,Joe Kao,BYU Technology Transfer Office,Colleges & Universities,"* Detection of intracellular NAD+ and NADH levels is pivotal for understanding the development of diseases as well as in disease diagnosis.
* This test makes it possible to detect levels of these three coenzymes in vivo, where in the past it was necessary to kill and fix cells to determine their levels.  The cellular reduction state and particularly the NAD+/NADH ratio has been shown to be involved in the development of a variety of disorders including cardiomyopathy, diabetes, Alzheimer’s and aging.",2015.01.29,,Diagnostics,Bench Scale,0086 10 8348 7835,Health Care,"Test for Cellular NAD+, NADH, and NADPH",,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"botulism, virus, detect, strain, toxin",Food Industry,Licensing Opportunities,Joe Kao,BYU Technology Transfer Office,Colleges & Universities,"* This technology makes it possible to to assess the Botulism virus in a rapid, highly sensitive, highly reliable and robust method for detecting all four toxin types within a single RTPCR tube.
* The toxin produced by Clostridium botulinum (botulism) is one of the most potent toxins known. It is believed that only one gram, properly aerosolized and distributed, could kill an estimate 1.5 million people. The technology could indentify this virtus thus help in the food safety control.",2015.01.29,,Other,Bench Scale,0086 10 8348 7835,Life Sciences and New Energy,Botulism Strain Detection,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"treatment, ligno-cellulouse, waste, energy, life sciences",Clean Technology Industry,Licensing Opportunities,Joe Kao,BYU Technology Transfer Office,Colleges & Universities,"* Fuel ethanol from sugar and starch is being increasingly criticized for unfavorable economics and effects on food supply. Only a small fraction of biomass can be converted into ethanol with current, commercially viable technology. Anaerobic digestion can produce energy in the form of hydrogen or methane from waste biomass such as manure, sewage and trash, but has previously been inefficient at converting cellulose and lignin into methane.
* The economic and technological state of production of ethanol from cellulose has been reviewed, and it’s been found that advances in pretreatment hold the key to unlocking the potential of biomass energy. Previous methods for pretreatment of ligno-cellulose to enhance conversion to fuels involve reaction with strong acids and bases and technologies that utilize genetically engineered enzymes and bacteria.
However, these technologies have not proven to be commercially viable because of cost of the pretreatment. The current invention utilizes a readily available and inexpensive chemical to overcome the limitations and costs of previous pretreatment methods.  This pretreatment converts ligno-cellulose into a biologically degradable substrate suitable for feeding to the consortium of bacteria in an anaerobic digester. The product of this process is natural gas (methane) and compost.
* The new pretreatment can be used to treat both cellulose and lignin so they can be converted to methane. Because it works at ambient temperatures and pressures, the system is simple, efficient and inexpensive.",2015.01.29,,Waste to Energy,Bench Scale,0086 10 8348 7835,Life Sciences and New Energy,Pretreatment of Ligno-Cellulose,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"copolyer, acrylic, microfluid, protein, material",Clean Technology Industry,Licensing Opportunities,Joe Kao,BYU Technology Transfer Office,Colleges & Universities,"* A new acrylic polymeric material that has inherent protein resistance and good physical properties to be used in the construction of microfluidic devices designed to separate proteins and peptides
* This invention is a new acrylic polymeric material that has inherent protein resistance and good physical properties, thereby eliminating the passivating process altogether.
* The copolymer is a combination of specially synthesized poly(ethylene glycol) diacrylate (PEGDA), PEGMEMA, MMA, and DMPA. Several previous experiments on copolymers of PEG have indicated that this material has the physical and chemical properties suited for fabrication of microfluidic devices that are also protein absorption resistant.
* The amounts of PEGMEMA, MMA, and DMPA were balanced to optimize the photopolymerization reaction, maximize the mechanical strength of the polymer, and minimize protein adsorption.",2015.01.29,,High-polymer,Bench Scale,0086 10 8348 7835,New Materials,Acrylic Copolymer for Microfluidic Devices,,CITTC,offer,11/09/2017 19:01:59
3 Months,Joe Kao,United States,xma@chinatis.com,CITTC ISO,,,Not Provided,"food, yogurt, sparkling, carbon dioxide, carbonation",Food Industry,Licensing Opportunities,Joe Kao,BYU Technology Transfer Office,Colleges & Universities,"* Sparkling Yogurt® is a lightly carbonated yogurt with a unique, refreshing taste. The carbonation imparts a pleasant tingling sensation. In test marketing, customers purchased sparkling yogurt two times to one over regular yogurt.
* Sparkling Yogurt® is lightly carbonated, spoonable yogurt with a unique, refreshing taste. The level of carbonation is lower than that of soft drinks, yielding a mild, yet stimulating tingle. Dissolving carbon dioxide creates a sparkle in the yogurt, which provides the tingling sensation. Carbonation can also be used in other semi-solid or solid spoonable foods, such as pudding, custard or flan.
 * Carbon Dioxide gas is added to the yogurt at a moderate pressure just prior to packaging. However, the chilled, packaged product is not under pressure",2015.01.29,,None,Bench Scale,0086 10 8348 7835,,Sparkling Yogurt,,CITTC,offer,11/09/2017 19:01:59
2 Years,Ms Xiao,United States,Posy2000@163.com,CITTC,,,Not Provided,,,Others,Ms Xiao,Additive Manufacturing Research Group of Loughborough University,,"* The vision of this project is to generate intelligent sensors systems for condition monitoring through the Additive Manufacture (AM) of bespoke ceramic packages. 
* Condition monitoring of high value assets has many advantages: it allows their efficient maintenance, minimises unscheduled downtime, extends their residual usable lifetime, raises productivity and improves product quality thereby allowing organisations to increase competitiveness. 
* Such systems are typically application specific with a wide range of different sensing and data processing demands, resulting in bespoke monitoring units produced in low volume",2015.01.26,,Machinery,Not Available,13331090928,Engineering,Intelligent sensor systems for condition monitoring through additive manufacture of ceramic packages,,CITTC,offer,11/09/2017 19:01:59
