meta_base_url,title,sector,published,window,country,description,secondary_field,keywords,cooperation_type,contact_organization,contact_organization_type,contact_person,contact_employer,contact_email,contact_phone,meta_organization,meta_category,meta_collected_date
http://www.cittc.net/anonym/demandDetail/918,polyester button becomes white,New Materials,2014.11.01,2 Years,China,Technical problems and name of required technique: polyester button becomes white,Chemical,,Other Mode,Jiashan TLD Industrial and Trading Company Limited,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/916,Quick testing technology of LED luminous decay and equipment,Electronics,2014.11.01,2 Years,China,Technical problems and name of required technique: Quick testing technology of LED luminous decay and equipment,Electronic Manufacturing,,Other Mode,Zhejiang New and Strong Lighting Technology Limited Company,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/915,High density interconnect (HDI) circuit board production technology,IT,2014.11.01,2 Years,China,Technical problems and name of required technique: High density interconnect (HDI) circuit board production technology,Next Generation Internet,,Other Mode,Zhejiang Wanzheng Electronic Technology Company Limited,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/908,design and manufacturing of large tube forming die.,Electronics,2014.11.01,2 Years,China,Project required: design and manufacturing of large tube forming die.,Electronic Manufacturing,,Other Mode,"Zhejiang Jiaxing Yada Stainless Steel Manufacture Co., Ltd",Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/907,"economic synthesis of key intermediate of anti-aids drug, i.e. 2-Chloro-3-amino-4-methyl pyridine.",Life Sciences and New Energy,2014.11.01,2 Years,China,"Project required: economic synthesis of key intermediate of anti-aids drug, i.e. 2-Chloro-3-amino-4-methyl pyridine.",Other,,Other Mode,Zhejiang Keyuan Chemical Limited Company,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/902,Chinese companies seeking for technology projects,Electronics,2014.11.01,2 Years,China,"A Chinese company in north China, looks for technology project in mechanical engineering, machinery, CNC equipment, machine tool, numerical control sectors.
The scheduled investment quota: 10 million to 3 million RMB",Electronic Manufacturing,"machinary, numerical control, machine tool, cnc machine",Other Mode,ITTN BUSINESS CENTER,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/901,Chinese companies seeking for technology projects,Life Sciences and New Energy,2014.11.01,2 Years,China,"A Chinese company in central China, looks for technology project. The company is possessed of 8000 sqm of workshop, office building, developed from coal-mining sector, and seeking for technology project related to energy industry.
The scheduled investment quota: 5 million to 10 million RMB",Biomass,energy,Other Mode,ITTN BUSINESS CENTER,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/900,Chinese companies seeking for technology projects,Life Sciences and New Energy,2014.11.01,2 Years,China,"A Chinese company, which is strong player in coal mine industry based on Henan Province, is seeking for technology projects.
The company is possessed of fixed assets of 560 million RMB, with the annual output value of 280 million RMB.
Since 2005, the company has invested 4 technology projects including aluminum alloy hot-extruded tube for cooling system, stainless steel solar power, LED sealing, lithium iron phosphate power battery. 
The company now is requiring new technology projects in clean energy and low emission sector for commercialization.
The scheduled investment quota: 500 million to 15 million RMB",Biomass,clean energies,Other Mode,ITTN BUSINESS CENTER,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/734,Study on Hotan river basin groundwater trends ：,Agriculture,2014.11.01,2 Years,China,"By the use of the present achievements and data, and the application of investigation, data collection, monitoring well network, study on the dynamic change of groundwater resources in upstream and downstream of Hotan river basin, groundwater resources and water quality variation trends, providing scientific basis for the rational development and utilization of underground water resources, and the solution of water resources shortage.",Bio-agriculture,basin groundwater,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/733,Hotan County walnut standardization production technology integration and demonstration：,Agriculture,2014.11.01,2 Years,China,"① Built high-quality thin-skinned walnut planting base of 320,000 mu, with the product quality reaching the standard of green food, achieving high yield and high level management with one mu per household in the entire county. ② Achieve the improved walnut variety popularity rate of more than 85%, survival rate of more than 85%, and walnut sound pod rate of more than 80%. ③ Achieve the total walnut output of 35,000 tons in the entire county, annual output value of 1.05 billion yuan, and average per capita walnut income of 3,750 yuan, accounting for 72.1% of per capita income in the county. ④ The walnut processing enterprises can realize annual sales income of 600,000,000 yuan, annual profit after tax of 37,880,000 yuan, income tax of 12,630,000 yuan and value-added tax of 53,760,000 yuan, and offer 1,182 jobs.",Bio-agriculture,walnut standardization production,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/732,Quality walnut industrialization base construction and series products development：,Agriculture,2014.11.01,2 Years,China,"① Keep walnut cultivation base in 262,000 mu, and built walnut standardization core demonstration of 10,000 mu, with the increasing production of more than 30% after project implementation. ② Built young walnut comprehensive technology management demonstration garden of 10,000 mu, with the improved variety popularity rate of more than 85% in young walnut garden, and the survival rate of more than 85%. ③ Achieve the total walnut production of 22,000 tons in the entire county, annual output value of 550,000,000 yuan, and average per capita walnut income of 1,500 yuan. ④ Walnut standardization production technology system, agricultural science and technology services and training system in the entire county are improved and developed. ⑤ The processing enterprises achieve sales revenue of 260,000,000 yuan and profit tax of 30,000,000 yuan, and offering 300 employment opportunities.",Bio-agriculture,quality walnut,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/731,Luopu County multiple cropping agriculture planting technology demonstration and extension：,Agriculture,2014.11.01,2 Years,China,"By the use of strip land of fruit quality garden, promote multiple cropping interplanting of winter wheat and corn, and by leveling the land, increasing the application of farmhouse fertilizer, scientific application of fertilizers and other agricultural measures, improve the economic benefits of farmland per unit area. Promote 50000 acres, with the increasing yield of wheat per mu of 14 kilograms, and the increasing yield of corn of 101 kilograms.",Bio-agriculture,cropping agriculture planting,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/730,"Hotan County germplasm resources collection nursery of economic forest construction：Establish germplasm resources collection nursery of economic forest, with the area of 200 mu, among which:",Agriculture,2014.11.01,2 Years,China,"there were Walnut germplasm resources collection nursery of 40 mu, other economic forest germplasm resources collection nursery of 60 mu and walnut cutting orchard of 100 mu. Survival rate of economic forest seedling, the grafting survival rate, and the prevention rate diseases and insect pests all achieve above 85%.",Bio-agriculture,germplasm,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/729,Luopu County special poultry district standardization demonstration base construction：,Agriculture,2014.11.01,2 Years,China,"Establish standardization special poultry districts of black chicken and ducks in Luopu Town and Qiaerbage Town, to develop characteristic aquaculture and meet the needs of the market, and to broaden income sources of farmers. Construct 20 standardization special poultry districts in Luopu County, including 7 black chicken breeding districts, with 25 continuous households in each district, 100 square meters per household; 4 duck breeding districts, with 20 continuous households in each district, 100 square meters per household; 4 goose breeding districts, with 20 continuous households in each district, 100 square meters per household; 5 layers breeding district s, with 20 continuous households in each district, 100 square meters per household.",Bio-agriculture,special poultry,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/728,Wood collection nursery construction of Moyu County high-tech agricultural science and technology demonstration park ：,Agriculture,2014.11.01,2 Years,China,"Plan to investigate and observe the local tree species in each village and town of Moyu County, and establish tree resources collection nursery through the protective transplantation of excellent local tree species, providing excellent germplasm for the development of characteristic forest and fruit industry. Introduce 20 fine varieties inside and outside the region, and collect all the local superior tree species and varieties, and select 2-3 species with high-yield and high-quality. Establish 2-3 sets of characteristic fruit production technical standard, and train 5,000 technicians and farmers.",Bio-agriculture,agricultural science and technology demonstration park,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/727,Hotan Prefecture modern agricultural science and technology park construction：,Agriculture,2014.11.01,2 Years,China,"With water-saving agricultural technology, agricultural equipment technology, agricultural standardized production technology, regional scale production technology, characteristic planting and breeding technology as the focus, construct Hotan Prefecture modern agricultural science and technology park in Hotan city. Park construction covers characteristic planting and breeding, industrial seed culture, water-saving irrigation, water and fertilizer coupling, circular economy, science and technology demonstration, technology training and ecological leisure, with the construction area of 100,000 mu.",Bio-agriculture,agricultural science and technology park,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/726,Key technology research on modern agriculture with high efficiency and distinctive features and integration demonstration：,Agriculture,2014.11.01,2 Years,China,"① Develop efficient facility agriculture system; scientific and rational planting pattern of efficient planting and multiple cropping; integrated pest management system; study on the management of water and fertilizer and soil quality cultivation technology system. ② Introduce and screen 20 varieties special for facility agriculture, and develop more than 7 new products, and achieve more than 15 new products and new technology patents. ③ Establish core test area of 5,500 mu, demonstration area of 105,000 mu, and radiation area of 5,100,000 mu; the increasing yield of new planting pattern is more than 10% compared with the first three years, with output per mu of 5,000-10,000 yuan, 10% improvement for fertilizer utilization rate, about 20% improvement for irrigation water utilization ratio, below 15% of plant diseases and insect pests damage and 20% improvement for the land utilization rate; save cost and increase benefit by more than 15%; cumulative increase of economic benefits is 2 billion yuan.",Bio-agriculture,modern agriculture,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/725,Technical service center construction ：,Agriculture,2014.11.01,2 Years,China,"Construct technical service center, and construct comprehensive teaching buildings of 4,000 square meters and facilities (including training room, office, computer room and water, electric, warm support and audio-visual equipments, books, teaching equipments, tables, chairs and cabinets). According to the local situation, integrate technology transfer workstation, technology correspondent workstation, technical demonstration base, scientific and technological information network and popular science education facilities as a whole, to form the integrated technology service platform of achievement transformation, technology promotion, information dissemination, training skills and the popularization of scientific knowledge.",Bio-agriculture,comprehensive teaching buildings,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/724,Biogas development and comprehensive utilization demonstration and promotion：,Agriculture,2014.11.01,2 Years,China,"Establish biogas comprehensive utilization demonstration villages. According to the animal-biogas model of ""one pool with three improvements"", build firedamp pools, to achieve the goal of toilet, pigsty and ketch improvement. Plans to build 640 firedamp pools, each with a volume of 10 cubic meters. The implementation of the project can not only effectively protect the ecological environment, but also provide biogas fertilizer for agricultural facilities development of the surrounding areas.",Bio-agriculture,biogas development,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/723,Energy saving and emission reduction technology development and promotion for new building materials ：,Agriculture,2014.11.01,2 Years,China,"Relying on science and technology investment, elevate the scientific and technological content of building material products, and guide the building material industry to environmental protection and energy-saving, and close down building material enterprises with high pollution, high energy consumption and backward production capacity, and improve the market competitiveness of the building material products.",Bio-agriculture,energy saving and emission,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/722,Agricultural products deep processing and new product development：,Agriculture,2014.11.01,2 Years,China,"Around characteristic industries of Project name:agriculture, forestry and animal husbandry, support and service a number of agricultural products deep processing enterprises, and intensify efforts in agricultural products deep processing and new product development. Through the implementation of technological innovation, technical transformation, scientific problem tackling, achievements transformation and the introduction of advanced technology, develop and support a number of agricultural products deep processing high-tech enterprises, to promote the formation of the industrial chain, and to promote high-efficient development of agriculture, and to boost farmers' income. Support the development of 40-60 famous, special and high-quality products. By focusing on new product development, promote industry technology innovation, and accelerate the upgrading of products, and improve product technology, packaging technology and product quality.",Bio-agriculture,agricultural products deep processing,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/721,High-tech innovation project of national culture products：,Agriculture,2014.11.01,2 Years,China,"Introduce new technology and new process to be combined with traditional process, and accelerate high and new technology innovation of national culture products and technical talents training, and integrate new technology, new process, new equipment and new material to innovate the production and processing of national culture products, to realize the combination of high and new technology and traditional processing technology, and to reduce cost, increase the varieties, improve scientific and technological content, improve the added value of products, expand the scale of production, and expand employment.",Bio-agriculture,national culture products,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/720,Agricultural products quality and safety traceability system construction：,Agriculture,2014.11.01,2 Years,China,"According to the requirement of ""green, characteristic, scale, brand"", speed up characteristic, pollution-free, green and organic production, and strengthen agricultural products quality and safety traceability system construction, and implement standardized production measures, focusing on the Hotan thin-skinned walnut and branchy tamarisk Cistanche salsa products quality and safety traceability system construction, to energetically promote the standardization of agricultural production and raise economic benefits.",Bio-agriculture,agricultural products quality and safety,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/719,Study on comprehensive technology of Cistanche tubulosa and tackle key technical problems：,Agriculture,2014.11.01,2 Years,China,"Mainly carry out systematic study on efficient inoculation techniques, rot prevention technology, safe hibernation technology, scientific excavation technology, water-saving irrigation technology and other key issues of Cistanche tubulosa, and formulate standard operation procedures (SOP) of cultivation technology. Form cultivation technique system of Cistanche tubulosa with high and stable yield and high quality, and achieve more than 90% inoculation rate; keep the output per mu above 100 kilograms (dry products).",Bio-agriculture,cistanche tubulosa,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/718,Physiological and biochemical study on the rot in walnut and pollution-free control techniques demonstration：,Agriculture,2014.11.01,2 Years,China,"Carry out etiological study on the browning to black and rot at phloem sites of walnut tree trunk and rhizome, to identify pathogen species, transmission routes, infection mechanisms, pathogenic factors of the rot in walnut and the relationships between pathogens and walnut trees planting, and adopt scientific prevention technology, combined with effective cultivation technology, to effectively control the disease, and to achieve more than 90% coverage of fine varieties, and green pollution-free fruit quality standards for walnut products.",Bio-agriculture,rot in walnut,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/717,Study on introducing shade tolerant crop varieties and demonstration：,Agriculture,2014.11.01,2 Years,China,"Introduce shade-tolerant economy and food crop varieties with high quality, high yield and high efficiency inside and outside the area, and carry out research and screening on their adaptability and economic benefits under shade tolerance condition, providing scientific basis for the development of benefit agriculture and simulating the balanced development of agriculture and other economic crops. Introduce 10-20 varieties of beans, melon, oil, potatoes, vegetables, bulbs and mushrooms, and study on integrated varieties, planting mode, insect pests and weeds integrated control technique of agroforestry, to identify 5-6 integrated varieties and 2-3 cultivation modes suitable for shade tolerant crop cultivation technology in Hotan region of agroforestry, and to develop shade tolerant crop cultivation technical standards and procedures, with the demonstration and extension of 200,000 mu.",Bio-agriculture,shade tolerant crop,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/716,Extension of livestock and poultry breeding technology demonstration：,Agriculture,2014.11.01,2 Years,China,"Introduce shade-tolerant economy and food crop varieties with high quality, high yield and high efficiency inside and outside the area, and carry out research and screening on their adaptability and economic benefits under shade tolerance condition, providing scientific basis for the development of benefit agriculture and simulating the balanced development of agriculture and other economic crops. Introduce 10-20 varieties of beans, melon, oil, potatoes, vegetables, bulbs and mushrooms, and study on integrated varieties, planting mode, insect pests and weeds integrated control technique of agroforestry, to identify 5-6 integrated varieties and 2-3 cultivation modes suitable for shade tolerant crop cultivation technology in Hotan region of agroforestry, and to develop shade tolerant crop cultivation technical standards and procedures, with the demonstration and extension of 200,000 mu.",Bio-agriculture,poultry breeding,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/715,Main fruit pests occurrence and non-pollution control technology promotion：,Agriculture,2014.11.01,2 Years,China,"Promote main fruit pests occurrence and non-pollution control technology. Reduce 50-80% of the harm of fruit pests before treatment, and the products reach the A-class standard of green food, with an annual investing of 2,000,000, amounting to 10,000,000 yuan in five years, and a total promotion and prevention area of 800,000 mu.",Bio-agriculture,pests occurrence and non-pollution control,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/714,The promotion of new technology in efficient agricultural water-saving irrigation：,Agriculture,2014.11.01,2 Years,China,"Reasonably allocate and promote agricultural irrigation technologies in spray irrigation, micro-irrigation, seepage prevention, water transportation in pipeline, furrow and border irrigation, on film and under film irrigation; adjust crops distribution, water-saving and efficient agriculture varieties, covering technology, water-fertilizer coupling technique, and chemical regulation and control technology; research on water-saving and efficient irrigation system and its irrigation mode; carry out research on experiment and demonstration of comprehensive technology in water-saving and efficient agriculture.",Bio-agriculture,agriculturewater-saving irrigation,Other Mode,Hotan County Technology Bureau,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/710,TOEC Technology Request（PPT）,IT,2014.11.01,2 Years,China,see attchment,Next Generation Internet,,Other Mode,"TOEC Technology Co.,LTD",Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
http://www.cittc.net/anonym/demandDetail/520,Introduction of International Cooperation Demand,Life Sciences and New Energy,2014.11.01,2 Years,China,"Introduction of International Cooperation Demand:                                                                                                      Relying on the corporative and scientific strength of China Huaneng Group in the field of energy technology, making full use of global resources, and participating in international competition and cooperation actively so as to obtain advanced clean energy technology projects. International cooperation could enhance the scientific and technological innovation capacity of the state-owned enterprises, helping to construct the global influential National Energy Technology Innovation Center and world-class high-tech R&D platform in the field of clean energy, promoting the research development and demonstration of cutting-edge technology in clean energy generation, driving the upgrading and optimization of industrial structure, and providing technical support for the sustainable development of the China Huaneng Group and power industry in China.",Biomass,,Other Mode,China Huaneng Group Clean Energy Technology Research Institute,Overseas Company/Agency,Caopanpan,CITTC,cpp@chinatis.com,+86 10 82696139-812,CITTC,request,11/09/2017 18:43:33
